tag	count	franchises
corrin (female) (fire emblem)	3065	fire emblem, fire emblem fates, fire emblem heroes
kay (girls und panzer)	3059	girls und panzer
ayanami (azur lane)	3057	azur lane
archer (fate)	3046	fate (series), fate/stay night, fate/grand order
kazama iroha	3040	hololive
sazanami (kancolle)	3040	kantai collection
hoshizora rin	3039	love live!, love live! school idol project
twilight (spy x family)	3037	spy x family
oda nobunaga (fate)	3030	fate (series), fate/grand order, koha-ace
artoria caster (fate)	3014	fate (series), fate/grand order
kuroki tomoko	3007	watashi ga motenai no wa dou kangaetemo omaera ga warui!
gilgamesh (fate)	3005	fate (series), fate/grand order, fate/stay night
kaito (vocaloid)	3004	vocaloid, project sekai
amamiya ren	2999	persona, persona 5, persona 5 the royal
nitocris (fate)	2982	fate/grand order, fate (series)
octoling player character	2981	splatoon (series), splatoon 2, splatoon 3
iori (blue archive)	2972	blue archive
nessa (pokemon)	2971	pokemon, pokemon swsh
monster hunter (character)	2963	monster hunter (series), monster hunter: world
murasame (kancolle)	2959	kantai collection
hex maniac (pokemon)	2941	pokemon, pokemon xy, pokemon legends: z-a
hieda no akyuu	2938	touhou
izuna (blue archive)	2938	blue archive
artoria pendragon (lancer) (fate)	2914	fate (series), fate/grand order
hiei (kancolle)	2913	kantai collection
akari (pokemon)	2907	pokemon, pokemon legends: arceus
takodachi (ninomae ina'nis)	2904	hololive, hololive english
holo	2903	spice and wolf
naganami (kancolle)	2902	kantai collection
misty (pokemon)	2901	pokemon, pokemon (anime), pokemon (classic anime)
shimada arisu	2892	girls und panzer
bea (pokemon)	2886	pokemon, pokemon swsh
iseri nina	2881	girls band cry
ex-keine	2877	touhou
futaba anzu	2875	idolmaster, idolmaster cinderella girls
dark magician girl	2874	yu-gi-oh!
callie (splatoon)	2871	splatoon (series), splatoon 1, splatoon 2
ishmael (project moon)	2871	project moon, limbus company
hiroi kikuri	2870	bocchi the rock!
yuubari (kancolle)	2867	kantai collection
symboli rudolf (umamusume)	2856	umamusume
zero two (darling in the franxx)	2856	darling in the franxx
eevee	2849	pokemon, pokemon swsh
robin (fire emblem)	2847	fire emblem, fire emblem awakening, fire emblem heroes
shirai kuroko	2841	toaru majutsu no index, toaru kagaku no railgun
sailor moon	2840	bishoujo senshi sailor moon, bishoujo senshi sailor moon s, bishoujo senshi sailor moon (first season)
kiyohime (fate)	2831	fate (series), fate/grand order
anastasia (idolmaster)	2830	idolmaster, idolmaster cinderella girls
takebe saori	2829	girls und panzer
dusk (arknights)	2823	arknights
amber (genshin impact)	2822	genshin impact
gokou ruri	2813	ore no imouto ga konna ni kawaii wake ga nai
watson amelia (1st costume)	2813	hololive, hololive english
shiroko terror (blue archive)	2803	blue archive
nitta minami	2788	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls starlight stage
falin touden	2781	dungeon meshi
omaru polka	2776	hololive
yorigami shion	2776	touhou
jougasaki rika	2774	idolmaster, idolmaster cinderella girls
monkey d. luffy	2772	one piece
yuzu (blue archive)	2767	blue archive
toga himiko	2760	boku no hero academia
elizabeth bathory (fate)	2757	fate (series), fate/grand order, fate/extra
march 7th (preservation) (honkai: star rail)	2750	honkai: star rail, honkai (series)
ruby rose	2747	rwby
doremy sweet	2745	touhou
atlanta (kancolle)	2744	kantai collection
belle (zenless zone zero)	2734	zenless zone zero
nicole demara	2733	zenless zone zero
wo-class aircraft carrier	2732	kantai collection
illustrious (azur lane)	2730	azur lane
miyu edelfelt	2727	fate (series), fate/kaleid liner prisma illya, fate/grand order
ikari shinji	2711	neon genesis evangelion, rebuild of evangelion
ninomae ina'nis (1st costume)	2706	hololive, hololive english
kirishima (kancolle)	2699	kantai collection
mercy (overwatch)	2699	overwatch, overwatch 1
han juri	2695	street fighter, street fighter 6, street fighter iv (series)
hoto cocoa	2685	gochuumon wa usagi desu ka?
koizumi hanayo	2679	love live!, love live! school idol project
nanashi mumei (1st costume)	2677	hololive, hololive english
izumi sagiri	2674	eromanga sensei
shu (arknights)	2673	arknights
katyusha (girls und panzer)	2671	girls und panzer
dan heng (honkai: star rail)	2663	honkai: star rail, honkai (series)
qiqi (genshin impact)	2661	genshin impact
special week (umamusume)	2661	umamusume
marie (splatoon)	2660	splatoon (series), splatoon 1, splatoon 2
tomoe gozen (fate)	2660	fate (series), fate/grand order
serika (blue archive)	2655	blue archive
cu chulainn (fate)	2654	fate (series), fate/grand order, fate/stay night
weiss schnee	2651	rwby
ibuki (blue archive)	2648	blue archive
tsunomaki watame	2648	hololive
ram (re:zero)	2635	re:zero kara hajimeru isekai seikatsu
kizuna akari	2632	voiceroid, vocaloid
nia (xenoblade)	2627	xenoblade chronicles (series), xenoblade chronicles 2, xenoblade chronicles 3
iroha (blue archive)	2619	blue archive
mostima (arknights)	2617	arknights
sakurai momoka	2617	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls u149
